Metric,Region,Val,Test
dice,Whole Tumor,0.8907985091209412,0.9082292318344116
dice,Tumor Core,0.7766348719596863,0.8371014595031738
dice,Enhancing,0.6766009330749512,0.7420474290847778
hd95,Whole Tumor,15.525071144104004,7.226654052734375
hd95,Tumor Core,13.836627006530762,15.33747673034668
hd95,Enhancing,15.291603088378906,15.247932434082031
iou,Whole Tumor,0.8102318048477173,0.846138596534729
iou,Tumor Core,0.675618588924408,0.7434292435646057
iou,Enhancing,0.5366237163543701,0.6225419044494629
sensitivity,Whole Tumor,0.9173624515533447,0.9228355288505554
sensitivity,Tumor Core,0.9303340911865234,0.9380978345870972
sensitivity,Enhancing,0.930682897567749,0.9690816402435303
specificity,Whole Tumor,0.9968973398208618,0.9974427819252014
specificity,Tumor Core,0.996817946434021,0.9978340268135071
specificity,Enhancing,0.9955847263336182,0.9963247776031494
