Metric,Region,Val,Test
dice,Whole Tumor,0.9318369030952454,0.9229070544242859
dice,Tumor Core,0.9155715107917786,0.8912991881370544
dice,Enhancing,0.8565375804901123,0.8727454543113708
hd95,Whole Tumor,4.411402225494385,5.60212516784668
hd95,Tumor Core,4.043249607086182,4.540584564208984
hd95,Enhancing,4.780353546142578,3.6598803997039795
iou,Whole Tumor,0.8783583045005798,0.8651902675628662
iou,Tumor Core,0.858784556388855,0.836121678352356
iou,Enhancing,0.7732446789741516,0.799248456954956
sensitivity,Whole Tumor,0.930800199508667,0.9247295260429382
sensitivity,Tumor Core,0.9093244075775146,0.8913185000419617
sensitivity,Enhancing,0.8468731045722961,0.8592851758003235
specificity,Whole Tumor,0.9989083409309387,0.9989394545555115
specificity,Tumor Core,0.9994811415672302,0.9994978904724121
specificity,Enhancing,0.9994907379150391,0.9996246099472046
