Metric,Region,Val,Test
dice,Whole Tumor,0.7155006527900696,0.6795313954353333
dice,Tumor Core,0.33447742462158203,0.37567567825317383
dice,Enhancing,0.2324863225221634,0.07511091232299805
hd95,Whole Tumor,18.630718231201172,37.00421905517578
hd95,Tumor Core,45.689910888671875,52.451629638671875
hd95,Enhancing,40.70804977416992,64.0167007446289
iou,Whole Tumor,0.6029517650604248,0.5641521215438843
iou,Tumor Core,0.21678563952445984,0.2847083508968353
iou,Enhancing,0.14058826863765717,0.041631679981946945
sensitivity,Whole Tumor,0.917916476726532,0.9388216733932495
sensitivity,Tumor Core,0.967151939868927,0.9665650129318237
sensitivity,Enhancing,0.9728232622146606,0.800000011920929
specificity,Whole Tumor,0.9949989318847656,0.9884458780288696
specificity,Tumor Core,0.9766870737075806,0.9770323038101196
specificity,Enhancing,0.9763199090957642,0.9727140665054321
