Patient,Region,Pointing_Game,MSR_Accuracy,Saliency_Coverage,Saliency_IoU,Weighted_Dice
BraTS-GLI-00291-000,et,0.0,0.0,0.153,0.2782,0.2324
BraTS-GLI-00291-000,tc,0.0,0.0,0.1614,0.3135,0.2452
BraTS-GLI-00291-000,wt,1.0,1.0,0.4895,0.2203,0.4224
BraTS-GLI-01397-000,et,1.0,1.0,0.2834,0.2711,0.3466
BraTS-GLI-01397-000,tc,1.0,1.0,0.3773,0.3122,0.403
BraTS-GLI-01397-000,wt,1.0,1.0,0.5575,0.2261,0.4613
BraTS-GLI-01497-000,et,0.0,0.0,0.0254,0.0252,0.0464
BraTS-GLI-01497-000,tc,1.0,1.0,0.5187,0.3137,0.4508
BraTS-GLI-01497-000,wt,1.0,1.0,0.6121,0.2421,0.441
BraTS-GLI-01518-000,et,0.0,0.0,0.0007,0.0,0.0014
BraTS-GLI-01518-000,tc,1.0,1.0,0.5482,0.3359,0.4733
BraTS-GLI-01518-000,wt,1.0,1.0,0.7335,0.1477,0.4027
BraTS-GLI-01666-000,et,N/A,N/A,N/A,N/A,N/A
BraTS-GLI-01666-000,tc,1.0,1.0,0.4779,0.1848,0.3893
BraTS-GLI-01666-000,wt,1.0,1.0,0.6818,0.1134,0.3819
