Patient,Region,Pointing_Game,MSR_Accuracy,Saliency_Coverage,Saliency_IoU,Weighted_Dice
BraTS-GLI-00022-000,wt,1.0,1.0,0.6234,0.1561,0.4324
BraTS-GLI-00022-000,tc,1.0,1.0,0.4858,0.2998,0.4447
BraTS-GLI-00022-000,et,0.0,0.0,0.3158,0.1535,0.3453
BraTS-GLI-00621-000,wt,1.0,1.0,0.165,0.0704,0.1861
BraTS-GLI-00621-000,tc,0.0,0.0,0.0339,0.069,0.0615
BraTS-GLI-00621-000,et,0.0,0.0,0.0329,0.065,0.0598
BraTS-GLI-01381-000,wt,1.0,1.0,0.6844,0.2456,0.4956
BraTS-GLI-01381-000,tc,1.0,1.0,0.4705,0.3715,0.4669
BraTS-GLI-01381-000,et,1.0,1.0,0.4015,0.3145,0.4273
BraTS-GLI-01256-000,wt,1.0,1.0,0.6181,0.2266,0.4719
BraTS-GLI-01256-000,tc,1.0,1.0,0.4802,0.2563,0.4623
BraTS-GLI-01256-000,et,1.0,1.0,0.1766,0.1385,0.2488
BraTS-GLI-01080-000,wt,1.0,1.0,0.5716,0.3856,0.4965
BraTS-GLI-01080-000,tc,1.0,1.0,0.3813,0.6455,0.4633
BraTS-GLI-01080-000,et,1.0,1.0,0.1711,0.2784,0.2596
BraTS-GLI-01087-000,wt,1.0,1.0,0.5506,0.167,0.4215
BraTS-GLI-01087-000,tc,1.0,1.0,0.144,0.2456,0.2158
BraTS-GLI-01087-000,et,1.0,1.0,0.1129,0.2115,0.176
BraTS-GLI-00140-000,wt,1.0,1.0,0.2852,0.4117,0.3578
BraTS-GLI-00140-000,tc,1.0,1.0,0.0861,0.4143,0.1504
BraTS-GLI-00140-000,et,1.0,1.0,0.0892,0.4177,0.1543
BraTS-GLI-01610-000,wt,1.0,1.0,0.1886,0.5725,0.2866
BraTS-GLI-01610-000,tc,1.0,1.0,0.0986,0.4531,0.1705
BraTS-GLI-01610-000,et,1.0,1.0,0.1111,0.4702,0.1869
BraTS-GLI-00419-000,wt,1.0,1.0,0.3402,0.2602,0.3532
BraTS-GLI-00419-000,tc,1.0,1.0,0.1824,0.5677,0.2794
BraTS-GLI-00419-000,et,0.0,0.0,0.095,0.2785,0.1614
BraTS-GLI-00402-000,wt,1.0,1.0,0.6371,0.149,0.4324
BraTS-GLI-00402-000,tc,1.0,1.0,0.3819,0.3095,0.4073
BraTS-GLI-00402-000,et,1.0,1.0,0.3038,0.2262,0.3547
BraTS-GLI-00280-000,wt,1.0,1.0,0.3925,0.1647,0.3525
BraTS-GLI-00280-000,tc,0.0,0.0,0.1829,0.1329,0.247
BraTS-GLI-00280-000,et,0.0,0.0,0.1516,0.1333,0.2182
BraTS-GLI-00101-000,wt,1.0,1.0,0.6397,0.3408,0.517
BraTS-GLI-00101-000,tc,1.0,1.0,0.4706,0.5215,0.4995
BraTS-GLI-00101-000,et,1.0,1.0,0.3226,0.3395,0.3882
BraTS-GLI-00221-000,wt,1.0,1.0,0.5168,0.4148,0.4898
BraTS-GLI-00221-000,tc,1.0,1.0,0.3942,0.4776,0.4439
BraTS-GLI-00221-000,et,1.0,1.0,0.1844,0.2142,0.2625
BraTS-GLI-01308-000,wt,1.0,1.0,0.0854,0.3038,0.1444
BraTS-GLI-01308-000,tc,1.0,1.0,0.0791,0.3798,0.1384
BraTS-GLI-01308-000,et,1.0,1.0,0.0828,0.385,0.1441
BraTS-GLI-01341-000,wt,1.0,1.0,0.0462,0.1282,0.0841
BraTS-GLI-01341-000,tc,1.0,1.0,0.0782,0.2729,0.1337
BraTS-GLI-01341-000,et,1.0,1.0,0.0631,0.2123,0.1105
BraTS-GLI-00356-000,wt,1.0,1.0,0.5636,0.3955,0.5097
BraTS-GLI-00356-000,tc,1.0,1.0,0.4106,0.5955,0.4735
BraTS-GLI-00356-000,et,0.0,0.0,0.2081,0.2286,0.2916
BraTS-GLI-01470-000,wt,1.0,1.0,0.5506,0.5372,0.5446
BraTS-GLI-01470-000,tc,1.0,1.0,0.2132,0.5767,0.3287
BraTS-GLI-01470-000,et,1.0,1.0,0.1593,0.4271,0.2597
BraTS-GLI-01040-000,wt,1.0,1.0,0.5863,0.2784,0.4579
BraTS-GLI-01040-000,tc,1.0,1.0,0.4451,0.4549,0.4638
BraTS-GLI-01040-000,et,0.0,0.0,0.2666,0.3032,0.3371
BraTS-GLI-01116-000,wt,1.0,1.0,0.6369,0.1585,0.3871
BraTS-GLI-01116-000,tc,1.0,1.0,0.2937,0.5681,0.3869
BraTS-GLI-01116-000,et,0.0,0.0,0.0984,0.15,0.164
BraTS-GLI-01175-000,wt,1.0,1.0,0.6542,0.1059,0.3968
BraTS-GLI-01175-000,tc,1.0,1.0,0.5415,0.1642,0.4191
BraTS-GLI-01175-000,et,0.0,0.0,0.4423,0.1844,0.4059
